payment_id,order_id,payment_date,payment_amount,payment_method,payment_status
10021,1002,2024-01-02,538.00,card,paid
10031,1003,2024-01-03,467.00,transfer,paid
10051,1005,2024-01-05,777.00,card,paid
10061,1006,2024-01-06,550.00,transfer,paid
10091,1009,2024-01-09,678.00,transfer,paid
10101,1010,2024-01-10,574.00,wallet,paid
10111,1011,2024-01-11,283.00,card,paid
10131,1013,2024-01-13,889.00,wallet,paid
10151,1015,2024-01-15,587.00,transfer,paid
10191,1019,2024-01-19,326.00,wallet,paid
10221,1022,2024-01-22,526.00,wallet,paid
10231,1023,2024-01-23,259.00,card,paid
10251,1025,2024-01-25,817.00,wallet,paid
10261,1026,2024-01-26,682.00,card,paid
10271,1027,2024-01-27,587.00,transfer,paid
10291,1029,2024-01-29,705.00,card,paid
10301,1030,2024-01-30,574.00,transfer,paid
10311,1031,2024-01-31,254.00,wallet,paid
10331,1033,2024-02-02,750.00,transfer,paid
10371,1037,2024-02-06,1105.00,wallet,paid
10381,1038,2024-02-07,634.00,card,paid
10391,1039,2024-02-08,347.00,transfer,paid
10411,1041,2024-02-10,609.00,card,paid
10431,1043,2024-02-12,422.00,wallet,paid
10451,1045,2024-02-14,846.00,transfer,paid
10461,1046,2024-02-15,670.00,wallet,paid
10471,1047,2024-02-16,331.00,card,paid
10501,1050,2024-02-19,466.00,card,paid
10531,1053,2024-02-22,513.00,card,paid
10541,1054,2024-02-23,718.00,transfer,paid
10551,1055,2024-02-24,350.00,wallet,paid
10571,1057,2024-02-26,942.00,transfer,paid
10581,1058,2024-02-27,502.00,wallet,paid
10591,1059,2024-02-28,187.00,card,paid
10611,1061,2024-03-01,601.00,wallet,paid
10621,1062,2024-03-02,538.00,card,paid
10651,1065,2024-03-05,777.00,card,paid
10661,1066,2024-03-06,550.00,transfer,paid
10671,1067,2024-03-07,518.00,wallet,paid
10711,1071,2024-03-11,283.00,card,paid
10731,1073,2024-03-13,889.00,wallet,paid
10741,1074,2024-03-14,610.00,card,paid
10751,1075,2024-03-15,587.00,transfer,paid
10781,1078,2024-03-18,622.00,transfer,paid
10791,1079,2024-03-19,326.00,wallet,paid
10811,1081,2024-03-21,654.00,transfer,paid
10821,1082,2024-03-22,526.00,wallet,paid
10831,1083,2024-03-23,259.00,card,paid
10871,1087,2024-03-27,587.00,transfer,paid
10891,1089,2024-03-29,705.00,card,paid
10901,1090,2024-03-30,574.00,transfer,paid
10931,1093,2024-04-02,750.00,transfer,paid
10941,1094,2024-04-03,718.00,wallet,paid
10951,1095,2024-04-04,355.00,card,paid
10971,1097,2024-04-06,1105.00,wallet,paid
10991,1099,2024-04-08,347.00,transfer,paid
11011,1101,2024-04-10,609.00,card,paid
11061,1106,2024-04-15,670.00,wallet,paid
11071,1107,2024-04-16,331.00,card,paid
11091,1109,2024-04-18,913.00,wallet,paid
11101,1110,2024-04-19,466.00,card,paid
11111,1111,2024-04-20,467.00,transfer,paid
11131,1113,2024-04-22,513.00,card,paid
11141,1114,2024-04-23,718.00,transfer,paid
11151,1115,2024-04-24,350.00,wallet,paid
11171,1117,2024-04-26,942.00,transfer,paid
11181,1118,2024-04-27,502.00,wallet,paid
11211,1121,2024-01-01,601.00,wallet,paid
11221,1122,2024-01-02,538.00,card,paid
11231,1123,2024-01-03,467.00,transfer,paid
11251,1125,2024-01-05,777.00,card,paid
11271,1127,2024-01-07,518.00,wallet,paid
11291,1129,2024-01-09,678.00,transfer,paid
11301,1130,2024-01-10,574.00,wallet,paid
11311,1131,2024-01-11,283.00,card,paid
11341,1134,2024-01-14,610.00,card,paid
11351,1135,2024-01-15,587.00,transfer,paid
11381,1138,2024-01-18,622.00,transfer,paid
11391,1139,2024-01-19,326.00,wallet,paid
11411,1141,2024-01-21,654.00,transfer,paid
11421,1142,2024-01-22,526.00,wallet,paid
11431,1143,2024-01-23,259.00,card,paid
11451,1145,2024-01-25,817.00,wallet,paid
11461,1146,2024-01-26,682.00,card,paid
11491,1149,2024-01-29,705.00,card,paid
11501,1150,2024-01-30,574.00,transfer,paid
11511,1151,2024-01-31,254.00,wallet,paid
11551,1155,2024-02-04,355.00,card,paid
11571,1157,2024-02-06,1105.00,wallet,paid
11581,1158,2024-02-07,634.00,card,paid
11591,1159,2024-02-08,347.00,transfer,paid
11621,1162,2024-02-11,406.00,transfer,paid
11631,1163,2024-02-12,422.00,wallet,paid
11651,1165,2024-02-14,846.00,transfer,paid
11661,1166,2024-02-15,670.00,wallet,paid
11671,1167,2024-02-16,331.00,card,paid
11691,1169,2024-02-18,913.00,wallet,paid
11731,1173,2024-02-22,513.00,card,paid
11741,1174,2024-02-23,718.00,transfer,paid
11771,1177,2024-02-26,942.00,transfer,paid
11781,1178,2024-02-27,502.00,wallet,paid
11791,1179,2024-02-28,187.00,card,paid
11811,1181,2024-03-01,601.00,wallet,paid
11831,1183,2024-03-03,467.00,transfer,paid
11851,1185,2024-03-05,777.00,card,paid
11861,1186,2024-03-06,550.00,transfer,paid
11901,1190,2024-03-10,574.00,wallet,paid
11911,1191,2024-03-11,283.00,card,paid
11931,1193,2024-03-13,889.00,wallet,paid
11941,1194,2024-03-14,610.00,card,paid
11951,1195,2024-03-15,587.00,transfer,paid
11971,1197,2024-03-17,681.00,card,paid
11981,1198,2024-03-18,622.00,transfer,paid
11991,1199,2024-03-19,326.00,wallet,paid
12011,1201,2024-03-21,654.00,transfer,paid
12021,1202,2024-03-22,526.00,wallet,paid
12061,1206,2024-03-26,682.00,card,paid
12071,1207,2024-03-27,587.00,transfer,paid
12091,1209,2024-03-29,705.00,card,paid
12111,1211,2024-03-31,254.00,wallet,paid
12131,1213,2024-04-02,750.00,transfer,paid
12141,1214,2024-04-03,718.00,wallet,paid
12151,1215,2024-04-04,355.00,card,paid
12181,1218,2024-04-07,634.00,card,paid
12191,1219,2024-04-08,347.00,transfer,paid
12231,1223,2024-04-12,422.00,wallet,paid
12251,1225,2024-04-14,846.00,transfer,paid
12261,1226,2024-04-15,670.00,wallet,paid
12271,1227,2024-04-16,331.00,card,paid
12291,1229,2024-04-18,913.00,wallet,paid
12301,1230,2024-04-19,466.00,card,paid
12331,1233,2024-04-22,513.00,card,paid
12341,1234,2024-04-23,718.00,transfer,paid
12351,1235,2024-04-24,350.00,wallet,paid
12371,1237,2024-04-26,942.00,transfer,paid
12411,1241,2024-01-01,601.00,wallet,paid
12421,1242,2024-01-02,538.00,card,paid
12431,1243,2024-01-03,467.00,transfer,paid
12461,1246,2024-01-06,550.00,transfer,paid
12471,1247,2024-01-07,518.00,wallet,paid
12491,1249,2024-01-09,678.00,transfer,paid
12501,1250,2024-01-10,574.00,wallet,paid
12511,1251,2024-01-11,283.00,card,paid
12531,1253,2024-01-13,889.00,wallet,paid
12541,1254,2024-01-14,610.00,card,paid
12571,1257,2024-01-17,681.00,card,paid
12581,1258,2024-01-18,622.00,transfer,paid
12611,1261,2024-01-21,654.00,transfer,paid
12621,1262,2024-01-22,526.00,wallet,paid
12631,1263,2024-01-23,259.00,card,paid
12651,1265,2024-01-25,817.00,wallet,paid
12671,1267,2024-01-27,587.00,transfer,paid
12691,1269,2024-01-29,705.00,card,paid
12701,1270,2024-01-30,574.00,transfer,paid
12711,1271,2024-01-31,254.00,wallet,paid
12741,1274,2024-02-03,718.00,wallet,paid
12751,1275,2024-02-04,355.00,card,paid
12771,1277,2024-02-06,1105.00,wallet,paid
12781,1278,2024-02-07,634.00,card,paid
12791,1279,2024-02-08,347.00,transfer,paid
12811,1281,2024-02-10,609.00,card,paid
12821,1282,2024-02-11,406.00,transfer,paid
12831,1283,2024-02-12,422.00,wallet,paid
12851,1285,2024-02-14,846.00,transfer,paid
12861,1286,2024-02-15,670.00,wallet,paid
12911,1291,2024-02-20,467.00,transfer,paid
12931,1293,2024-02-22,513.00,card,paid
