store_id,store_name,city,region,opened_date,store_type
101,bangkok central,bangkok,central,2022-01-01,flagship
102,bangkok north,bangkok,central,2022-01-21,express
103,chiang mai plaza,chiang mai,north,2022-02-10,flagship
104,phuket beach,phuket,south,2022-03-02,branch
105,khon kaen mall,khon kaen,northeast,2022-03-22,branch
106,chonburi port,chonburi,east,2022-04-11,branch
107,hat yai point,hat yai,south,2022-05-01,branch
108,bangkok east,bangkok,central,2022-05-21,express
109,udon center,udon thani,northeast,2022-06-10,branch
110,korat square,nakhon ratchasima,northeast,2022-06-30,branch
111,rayong town,rayong,east,2022-07-20,branch
112,surat hub,surat thani,south,2022-08-09,branch
